age,county,count,sex
0-5,Essex,132,1
0-5,Franklin,1581,1
0-5,Caledonia,918,1
0-5,Addison,956,1
0-5,Rutland,1441,1
0-5,Windham,1116,1
0-5,Windsor,1354,1
0-5,Washington,1526,1
0-5,Grand Isle,150,1
0-5,Lamoille,694,1
0-5,Orange,735,1
0-5,Bennington,995,1
0-5,Orleans,689,1
0-5,Chittenden,4052,1
0-5,Essex,122,2
0-5,Franklin,1426,2
0-5,Caledonia,809,2
0-5,Addison,816,2
0-5,Rutland,1391,2
0-5,Windham,1032,2
0-5,Windsor,1318,2
0-5,Washington,1561,2
0-5,Grand Isle,169,2
0-5,Lamoille,801,2
0-5,Orange,737,2
0-5,Bennington,882,2
0-5,Orleans,724,2
0-5,Chittenden,3825,2
10-Jun,Essex,154,1
10-Jun,Franklin,1570,1
10-Jun,Caledonia,935,1
10-Jun,Addison,1007,1
10-Jun,Rutland,1684,1
10-Jun,Windham,1223,1
10-Jun,Windsor,1546,1
10-Jun,Washington,1705,1
10-Jun,Grand Isle,182,1
10-Jun,Lamoille,758,1
10-Jun,Orange,851,1
10-Jun,Bennington,1067,1
10-Jun,Orleans,792,1
10-Jun,Chittenden,4380,1
10-Jun,Essex,152,2
10-Jun,Franklin,1559,2
10-Jun,Caledonia,908,2
10-Jun,Addison,916,2
10-Jun,Rutland,1524,2
10-Jun,Windham,1124,2
10-Jun,Windsor,1481,2
10-Jun,Washington,1661,2
10-Jun,Grand Isle,188,2
10-Jun,Lamoille,709,2
10-Jun,Orange,772,2
10-Jun,Bennington,923,2
10-Jun,Orleans,784,2
10-Jun,Chittenden,4099,2
15-Nov,Essex,202,1
15-Nov,Franklin,1795,1
15-Nov,Caledonia,984,1
15-Nov,Addison,1151,1
15-Nov,Rutland,1813,1
15-Nov,Windham,1377,1
15-Nov,Windsor,1740,1
15-Nov,Washington,1812,1
15-Nov,Grand Isle,240,1
15-Nov,Lamoille,816,1
15-Nov,Orange,894,1
15-Nov,Bennington,1072,1
15-Nov,Orleans,869,1
15-Nov,Chittenden,4586,1
15-Nov,Essex,178,2
15-Nov,Franklin,1700,2
15-Nov,Caledonia,910,2
15-Nov,Addison,1095,2
15-Nov,Rutland,1739,2
15-Nov,Windham,1247,2
15-Nov,Windsor,1609,2
15-Nov,Washington,1730,2
15-Nov,Grand Isle,201,2
15-Nov,Lamoille,693,2
15-Nov,Orange,892,2
15-Nov,Bennington,1075,2
15-Nov,Orleans,845,2
15-Nov,Chittenden,4372,2
15-19,Addison,1653,1
15-19,Addison,1633,2
15-19,Bennington,1343,1
15-19,Bennington,1335,2
15-19,Caledonia,1273,1
15-19,Caledonia,1131,2
15-19,Chittenden,6762,1
15-19,Chittenden,6952,2
15-19,Essex,175,1
15-19,Essex,203,2
15-19,Franklin,1703,1
15-19,Franklin,1522,2
15-19,Grand Isle,220,1
15-19,Grand Isle,200,2
15-19,Lamoille,906,1
15-19,Lamoille,867,2
15-19,Orange,1061,1
15-19,Orange,921,2
15-19,Orleans,869,1
15-19,Orleans,808,2
15-19,Rutland,2201,1
15-19,Rutland,2045,2
15-19,Washington,2371,1
15-19,Washington,1775,2
15-19,Windham,1467,1
15-19,Windham,1372,2
15-19,Windsor,1655,1
15-19,Windsor,1589,2
20-24,Addison,1655,1
20-24,Addison,1414,2
20-24,Bennington,996,1
20-24,Bennington,1137,2
20-24,Caledonia,1032,1
20-24,Caledonia,925,2
20-24,Chittenden,8202,1
20-24,Chittenden,8260,2
20-24,Essex,141,1
20-24,Essex,137,2
20-24,Franklin,1198,1
20-24,Franklin,1157,2
20-24,Grand Isle,164,1
20-24,Grand Isle,136,2
20-24,Lamoille,812,1
20-24,Lamoille,760,2
20-24,Orange,870,1
20-24,Orange,681,2
20-24,Orleans,763,1
20-24,Orleans,622,2
20-24,Rutland,2103,1
20-24,Rutland,1978,2
20-24,Washington,2072,1
20-24,Washington,1525,2
20-24,Windham,1338,1
20-24,Windham,1175,2
20-24,Windsor,1336,1
20-24,Windsor,1262,2
25-29,Essex,127,1
25-29,Franklin,1365,1
25-29,Caledonia,831,1
25-29,Addison,818,1
25-29,Rutland,1610,1
25-29,Windham,1176,1
25-29,Windsor,1619,1
25-29,Washington,1481,1
25-29,Grand Isle,137,1
25-29,Lamoille,690,1
25-29,Orange,751,1
25-29,Bennington,861,1
25-29,Orleans,765,1
25-29,Chittenden,5482,1
25-29,Essex,131,2
25-29,Franklin,1405,2
25-29,Caledonia,757,2
25-29,Addison,806,2
25-29,Rutland,1523,2
25-29,Windham,1202,2
25-29,Windsor,1565,2
25-29,Washington,1604,2
25-29,Grand Isle,170,2
25-29,Lamoille,661,2
25-29,Orange,745,2
25-29,Bennington,890,2
25-29,Orleans,690,2
25-29,Chittenden,5579,2
30-34,Essex,132,1
30-34,Franklin,1409,1
30-34,Caledonia,821,1
30-34,Addison,889,1
30-34,Rutland,1522,1
30-34,Windham,1077,1
30-34,Windsor,1476,1
30-34,Washington,1612,1
30-34,Grand Isle,186,1
30-34,Lamoille,754,1
30-34,Orange,731,1
30-34,Bennington,799,1
30-34,Orleans,751,1
30-34,Chittenden,4749,1
30-34,Essex,135,2
30-34,Franklin,1535,2
30-34,Caledonia,806,2
30-34,Addison,889,2
30-34,Rutland,1451,2
30-34,Windham,1181,2
30-34,Windsor,1437,2
30-34,Washington,1730,2
30-34,Grand Isle,180,2
30-34,Lamoille,796,2
30-34,Orange,745,2
30-34,Bennington,842,2
30-34,Orleans,744,2
30-34,Chittenden,4802,2
35-39,Essex,182,1
35-39,Franklin,1620,1
35-39,Caledonia,886,1
35-39,Addison,994,1
35-39,Rutland,1634,1
35-39,Windham,1135,1
35-39,Windsor,1524,1
35-39,Washington,1802,1
35-39,Grand Isle,191,1
