county,ethinicity,count,percentage
Essex,WHITE ALONE,6138,0.973358706
Franklin,WHITE ALONE,45648,0.956059146
Caledonia,WHITE ALONE,30138,0.965126333
Addison,WHITE ALONE,35078,0.952662883
Rutland,WHITE ALONE,59829,0.970588235
Windham,WHITE ALONE,42412,0.952800306
Windsor,WHITE ALONE,54563,0.962819834
Washington,WHITE ALONE,57192,0.960661135
Grand Isle,WHITE ALONE,6641,0.952797704
Lamoille,WHITE ALONE,23656,0.966537283
Orange,WHITE ALONE,28077,0.970313796
Bennington,WHITE ALONE,35858,0.965872054
Orleans,WHITE ALONE,26310,0.966178253
Chittenden,WHITE ALONE,144752,0.924667029
Essex,BLACK OR AFRICAN AMERICAN ALONE,18,0.002854424
Franklin,BLACK OR AFRICAN AMERICAN ALONE,213,0.004461107
Caledonia,BLACK OR AFRICAN AMERICAN ALONE,167,0.005347936
Addison,BLACK OR AFRICAN AMERICAN ALONE,283,0.007685831
Rutland,BLACK OR AFRICAN AMERICAN ALONE,334,0.005418384
Windham,BLACK OR AFRICAN AMERICAN ALONE,421,0.009457911
Windsor,BLACK OR AFRICAN AMERICAN ALONE,327,0.005770249
Washington,BLACK OR AFRICAN AMERICAN ALONE,441,0.007407532
Grand Isle,BLACK OR AFRICAN AMERICAN ALONE,25,0.003586801
Lamoille,BLACK OR AFRICAN AMERICAN ALONE,149,0.006087845
Orange,BLACK OR AFRICAN AMERICAN ALONE,110,0.003801493
Bennington,BLACK OR AFRICAN AMERICAN ALONE,308,0.008296296
Orleans,BLACK OR AFRICAN AMERICAN ALONE,162,0.005949102
Chittenden,BLACK OR AFRICAN AMERICAN ALONE,3319,0.021201571
Essex,AMERICAN INDIAN AND ALASKA NATIVE ALONE,36,0.005708849
Franklin,AMERICAN INDIAN AND ALASKA NATIVE ALONE,500,0.010472081
Caledonia,AMERICAN INDIAN AND ALASKA NATIVE ALONE,138,0.004419253
Addison,AMERICAN INDIAN AND ALASKA NATIVE ALONE,88,0.002389941
Rutland,AMERICAN INDIAN AND ALASKA NATIVE ALONE,150,0.002433406
Windham,AMERICAN INDIAN AND ALASKA NATIVE ALONE,114,0.00256105
Windsor,AMERICAN INDIAN AND ALASKA NATIVE ALONE,154,0.002717487
Washington,AMERICAN INDIAN AND ALASKA NATIVE ALONE,151,0.002536366
Grand Isle,AMERICAN INDIAN AND ALASKA NATIVE ALONE,66,0.009469154
Lamoille,AMERICAN INDIAN AND ALASKA NATIVE ALONE,94,0.003840654
Orange,AMERICAN INDIAN AND ALASKA NATIVE ALONE,85,0.002937517
Bennington,AMERICAN INDIAN AND ALASKA NATIVE ALONE,94,0.002531987
Orleans,AMERICAN INDIAN AND ALASKA NATIVE ALONE,123,0.004516911
Chittenden,AMERICAN INDIAN AND ALASKA NATIVE ALONE,414,0.002644607
Essex,ASIAN ALONE,22,0.003488741
Franklin,ASIAN ALONE,231,0.004838102
Caledonia,ASIAN ALONE,251,0.008037916
Addison,ASIAN ALONE,532,0.014448277
Rutland,ASIAN ALONE,370,0.006002401
