County,Year,Population
Addison,1790,7201
Bennington,1790,12095
Caledonia,1790,1960
Chittenden,1790,3866
Essex,1790,567
Franklin,1790,1259
Grand Isle,1790,1155
Lamoille,1790,549
Orange,1790,7316
Orleans,1790,19
Rutland,1790,14773
Washington,1790,826
Windham,1790,17162
Windsor,1790,15640
Addison,1800,14735
Bennington,1800,14468
Caledonia,1800,6962
Chittenden,1800,9396
Essex,1800,1441
Franklin,1800,6525
Grand Isle,1800,1887
Lamoille,1800,1689
Orange,1800,16322
Orleans,1800,1003
Rutland,1800,22219
Washington,1800,5877
Windham,1800,23649
Windsor,1800,26922
Addison,1810,20077
Bennington,1810,15893
Caledonia,1810,13649
Chittenden,1810,14499
Essex,1810,1673
Franklin,1810,14411
Grand Isle,1810,3445
Lamoille,1810,3667
Orange,1810,22707
Orleans,1810,4447
Rutland,1810,27432
Washington,1810,11401
Windham,1810,27374
Windsor,1810,34877
Addison,1820,21952
Bennington,1820,16125
Caledonia,1820,15256
Chittenden,1820,17167
Essex,1820,3027
Franklin,1820,13824
Grand Isle,1820,3527
Lamoille,1820,4955
Orange,1820,25165
Orleans,1820,5314
Rutland,1820,28250
Washington,1820,15455
Windham,1820,28281
Windsor,1820,38640
Addison,1830,26505
Bennington,1830,17470
Caledonia,1830,18599
Chittenden,1830,21502
Essex,1830,3957
Franklin,1830,21686
Grand Isle,1830,3695
Lamoille,1830,8468
Orange,1830,27285
Orleans,1830,10753
Rutland,1830,29697
Washington,1830,20884
Windham,1830,29257
Windsor,1830,40631
Addison,1840,25193
Bennington,1840,16872
Caledonia,1840,20199
Chittenden,1840,22969
Essex,1840,4198
Franklin,1840,24512
Grand Isle,1840,3883
Lamoille,1840,10059
Orange,1840,27873
Orleans,1840,13322
Rutland,1840,29515
Washington,1840,26018
Windham,1840,27549
Windsor,1840,40346
Addison,1850,26549
Bennington,1850,18389
Caledonia,1850,21907
Chittenden,1850,28981
Essex,1850,4624
Franklin,1850,28538
Grand Isle,1850,4145
Lamoille,1850,10639
Orange,1850,27296
Orleans,1850,15252
Rutland,1850,33059
Washington,1850,26060
Windham,1850,29062
Windsor,1850,38320
Addison,1860,24010
Bennington,1860,19515
Caledonia,1860,21360
Chittenden,1860,28169
Essex,1860,5786
Franklin,1860,27231
Grand Isle,1860,4276
Lamoille,1860,12275
Orange,1860,25605
Orleans,1860,18378
Rutland,1860,35946
Washington,1860,27612
Windham,1860,26982
Windsor,1860,37303
Addison,1870,23589
Bennington,1870,21125
Caledonia,1870,22228
Chittenden,1870,36480
Essex,1870,6810
Franklin,1870,29897
Grand Isle,1870,4082
Lamoille,1870,12449
Orange,1870,23090
Orleans,1870,20342
Rutland,1870,40431
Washington,1870,26508
Windham,1870,26038
Windsor,1870,36063
Addison,1880,24175
Bennington,1880,21952
Caledonia,1880,23607
Chittenden,1880,32791
Essex,1880,7931
Franklin,1880,30209
Grand Isle,1880,4125
Lamoille,1880,12685
Orange,1880,23535
Orleans,1880,21492
Rutland,1880,41829
Washington,1880,25374
Windham,1880,26774
Windsor,1880,35196
Addison,1890,22377
Bennington,1890,20448
Caledonia,1890,23446
Chittenden,1890,35668
Essex,1890,9443
Franklin,1890,29745
Grand Isle,1890,3843
Lamoille,1890,12831
Orange,1890,19775
Orleans,1890,22101
Rutland,1890,45397
Washington,1890,29575
Windham,1890,26557
Windsor,1890,31716
Addison,1900,21912
Bennington,1900,21705
Caledonia,1900,24381
Chittenden,1900,39690
Essex,1900,8014
Franklin,1900,30196
Grand Isle,1900,4462
Lamoille,1900,12289
Orange,1900,19313
Orleans,1900,22025
Rutland,1900,44209
Washington,1900,36607
Windham,1900,26659
Windsor,1900,32225
Addison,1910,19990
Bennington,1910,21378
Caledonia,1910,26031
Chittenden,1910,42447
Essex,1910,7380
Franklin,1910,29866
Grand Isle,1910,3761
Lamoille,1910,12595
Orange,1910,18702
Orleans,1910,23236
Rutland,1910,48150
Washington,1910,41615
Windham,1910,26932
Windsor,1910,33561
Addison,1920,18666
Bennington,1920,21577
Caledonia,1920,25762
Chittenden,1920,43694
Essex,1920,7364
Franklin,1920,30125
Grand Isle,1920,3783
Lamoille,1920,11858
Orange,1920,17279
Orleans,1920,23914
Rutland,1920,46216
Washington,1920,38945
Windham,1920,26593
Windsor,1920,37004
Addison,1930,17952
Bennington,1930,21653
Caledonia,1930,27253
Chittenden,1930,47291
Essex,1930,7062
Franklin,1930,29975
Grand Isle,1930,3944
Lamoille,1930,10884
Orange,1930,16694
Orleans,1930,22186
Rutland,1930,48450
Washington,1930,41733
Windham,1930,26015
Windsor,1930,37416
Addison,1940,17944
Bennington,1940,22286
Caledonia,1940,24314
Chittenden,1940,52094
Essex,1940,6490
Franklin,1940,29601
Grand Isle,1940,3802
Lamoille,1940,11028
Orange,1940,17048
Orleans,1940,21718
Rutland,1940,45638
Washington,1940,41546
Windham,1940,27850
Windsor,1940,37862
Addison,1950,19442
Bennington,1950,24115
Caledonia,1950,24049
Chittenden,1950,62567
Essex,1950,6255
Franklin,1950,29885
Grand Isle,1950,3406
Lamoille,1950,11388
Orange,1950,17027
Orleans,1950,21190
Rutland,1950,45905
Washington,1950,42870
Windham,1950,28749
Windsor,1950,40885
Addison,1960,20076
Bennington,1960,25088
Caledonia,1960,22786
Chittenden,1960,74425
Essex,1960,6083
Franklin,1960,29474
Grand Isle,1960,2927
Lamoille,1960,11027
Orange,1960,16014
Orleans,1960,20143
Rutland,1960,46719
Washington,1960,42860
Windham,1960,29776
Windsor,1960,42483
Addison,1970,24266
Bennington,1970,29282
Caledonia,1970,22789
Chittenden,1970,99131
Essex,1970,5416
Franklin,1970,31281
Grand Isle,1970,3574
Lamoille,1970,13309
Orange,1970,17676
Orleans,1970,20153
Rutland,1970,52637
Washington,1970,47659
Windham,1970,33476
Windsor,1970,44082
Addison,1980,29406
Bennington,1980,33345
Caledonia,1980,25808
Chittenden,1980,115534
Essex,1980,6313
Franklin,1980,34788
Grand Isle,1980,4613
Lamoille,1980,16767
Orange,1980,22739
Orleans,1980,23440
Rutland,1980,58347
Washington,1980,52393
Windham,1980,36933
Windsor,1980,51030
Addison,1990,32953
Bennington,1990,35845
Caledonia,1990,27846
Chittenden,1990,131761
Essex,1990,6405
Franklin,1990,39980
Grand Isle,1990,5318
Lamoille,1990,19735
Orange,1990,26149
Orleans,1990,24053
Rutland,1990,62142
Washington,1990,54928
Windham,1990,41588
Windsor,1990,54055
Addison,2000,35974
Bennington,2000,36994
Caledonia,2000,29702
Chittenden,2000,146571
Essex,2000,6459
Franklin,2000,45417
Grand Isle,2000,6901
Lamoille,2000,23233
Orange,2000,28226
Orleans,2000,26277
Rutland,2000,63400
Washington,2000,58039
Windham,2000,44216
Windsor,2000,57418
Addison,2010,36821
Bennington,2010,37125
Caledonia,2010,31227
Chittenden,2010,156545
Essex,2010,6306
Franklin,2010,47746
Grand Isle,2010,6970
Lamoille,2010,24475
Orange,2010,28936
Orleans,2010,27231
Rutland,2010,61642
Washington,2010,59534
Windham,2010,44513
Windsor,2010,56670
