county,sex,age,people
Essex County,1,0-5,132
Franklin County,1,0-5,1581
Caledonia County,1,0-5,918
Addison County,1,0-5,956
Rutland County,1,0-5,1441
Windham County,1,0-5,1116
Windsor County,1,0-5,1354
Washington County,1,0-5,1526
Grand Isle County,1,0-5,150
Lamoille County,1,0-5,694
Orange County,1,0-5,735
Bennington County,1,0-5,995
Orleans County,1,0-5,689
Chittenden County,1,0-5,4052
Essex County,1,6 to 10,154
Franklin County,1,6 to 10,1570
Caledonia County,1,6 to 10,935
Addison County,1,6 to 10,1007
Rutland County,1,6 to 10,1684
Windham County,1,6 to 10,1223
Windsor County,1,6 to 10,1546
Washington County,1,6 to 10,1705
Grand Isle County,1,6 to 10,182
Lamoille County,1,6 to 10,758
Orange County,1,6 to 10,851
Bennington County,1,6 to 10,1067
Orleans County,1,6 to 10,792
Chittenden County,1,6 to 10,4380
Essex County,1,11 to 15,202
Franklin County,1,11 to 15,1795
Caledonia County,1,11 to 15,984
Addison County,1,11 to 15,1151
Rutland County,1,11 to 15,1813
Windham County,1,11 to 15,1377
Windsor County,1,11 to 15,1740
Washington County,1,11 to 15,1812
Grand Isle County,1,11 to 15,240
Lamoille County,1,11 to 15,816
Orange County,1,11 to 15,894
Bennington County,1,11 to 15,1072
Orleans County,1,11 to 15,869
Chittenden County,1,11 to 15,4586
Essex County,1,15-17,121
Franklin County,1,15-17,1127
Caledonia County,1,15-17,672
Addison County,1,15-17,806
Rutland County,1,15-17,1204
Windham County,1,15-17,891
Windsor County,1,15-17,1091
Washington County,1,15-17,1197
Grand Isle County,1,15-17,152
Lamoille County,1,15-17,518
Orange County,1,15-17,579
Bennington County,1,15-17,818
Orleans County,1,15-17,559
Chittenden County,1,15-17,3069
Essex County,1,18-19,54
Franklin County,1,18-19,576
Caledonia County,1,18-19,601
Addison County,1,18-19,847
Rutland County,1,18-19,997
Windham County,1,18-19,576
Windsor County,1,18-19,564
Washington County,1,18-19,1174
Grand Isle County,1,18-19,68
Lamoille County,1,18-19,388
Orange County,1,18-19,482
Bennington County,1,18-19,525
Orleans County,1,18-19,310
