GEOID,county,total population,median age
50009,Essex County,6306,47.4
50011,Franklin County,47746,39.6
50005,Caledonia County,31227,42.1
50001,Addison County,36821,41.3
50021,Rutland County,61642,44.3
50025,Windham County,44513,44.9
50027,Windsor County,56670,45.8
50023,Washington County,59534,42.3
50013,Grand Isle County,6970,45.5
50015,Lamoille County,24475,39.7
50017,Orange County,28936,43.8
50003,Bennington County,37125,45.1
50019,Orleans County,27231,43.7
50007,Chittenden County,156545,36.2
