GEOID10,CNTY,CNTYLONG,TOTAL POPULATION,TOTAL NUMBER OF HOUSEHOLDS,AVERAGE HOUSEHOLD SIZE,HUSBAND-WIFE FAMILY WITH OWN CHILDREN UNDER 18 YEARS OF AGE,HUSBAND-WIFE FAMILY WITHOUT OWN CHILDREN UNDER 18 YEARS OF AGE,TOTAL NUMBER HOUSEHOLDS IN GROUP QUARTERS,TOTAL NUMBER OF FAMILIES,POPULATION UNDER 18 YEARS OF AGE IN FAMILIES,POPULATION 18 YEARS OF AGE AND OVER IN FAMILIES,AVERAGE FAMILY SIZE (2 EXPRESSED DECIMALS)
50009,Essex,Essex County,6306,2818,2.23,408,1030,16,1814,1172,3733,2.7
50011,Franklin,Franklin County,47746,18513,2.55,3978,5961,529,12939,11489,26894,2.97
50005,Caledonia,Caledonia County,31227,12553,2.38,2172,4070,1345,8153,6526,16755,2.86
50001,Addison,Addison County,36821,14084,2.41,2786,4724,2852,9340,7280,19601,2.88
50021,Rutland,Rutland County,61642,25984,2.28,3953,8334,2318,16018,11457,33526,2.81
50025,Windham,Windham County,44513,19290,2.23,2854,5785,1464,11453,8410,23498,2.79
50027,Windsor,Windsor County,56670,24753,2.25,3986,8166,898,15420,10953,31746,2.77
50023,Washington,Washington County,59534,25027,2.28,4342,7444,2410,15410,12021,31336,2.81
50013,Grand Isle,Grand Isle County,6970,2902,2.4,518,1113,0,2027,1390,4269,2.79
50015,Lamoille,Lamoille County,24475,10014,2.37,1878,2955,694,6274,5310,12716,2.87
50017,Orange,Orange County,28936,11887,2.37,2035,4140,715,7865,5868,16361,2.83
50003,Bennington,Bennington County,37125,15470,2.3,2476,4971,1475,9767,7351,20288,2.83
50019,Orleans,Orleans County,27231,11320,2.33,1837,3819,818,7298,5625,14879,2.81
50007,Chittenden,Chittenden County,156545,61827,2.37,12001,16659,9795,36582,30633,76098,2.92
