GEOID10,countyshort,total population,total number of housing units,variable,value,percentage
50009,Essex,6306,5019,occupied housing units,2818,0.5614664275752141
50011,Franklin,47746,21588,occupied housing units,18513,0.8575597554196775
50005,Caledonia,31227,15942,occupied housing units,12553,0.7874168862125204
50001,Addison,36821,16760,occupied housing units,14084,0.8403341288782816
50021,Rutland,61642,33768,occupied housing units,25984,0.7694859038142621
50025,Windham,44513,29735,occupied housing units,19290,0.6487304523289054
50027,Windsor,56670,34118,occupied housing units,24753,0.7255114602262736
50023,Washington,59534,29941,occupied housing units,25027,0.8358772252095789
50013,Grand Isle,6970,5048,occupied housing units,2902,0.5748811410459588
50015,Lamoille,24475,12969,occupied housing units,10014,0.7721489706222531
50017,Orange,28936,14845,occupied housing units,11887,0.8007409902324015
50003,Bennington,37125,20922,occupied housing units,15470,0.7394130580250454
50019,Orleans,27231,16162,occupied housing units,11320,0.7004083653013241
50007,Chittenden,156545,65722,occupied housing units,61827,0.9407352180396215
50009,Essex,6306,5019,vacant housing units,2201,0.4385335724247858
50011,Franklin,47746,21588,vacant housing units,3075,0.1424402445803224
50005,Caledonia,31227,15942,vacant housing units,3389,0.21258311378747963
50001,Addison,36821,16760,vacant housing units,2676,0.15966587112171837
50021,Rutland,61642,33768,vacant housing units,7784,0.23051409618573798
50025,Windham,44513,29735,vacant housing units,10445,0.3512695476710947
50027,Windsor,56670,34118,vacant housing units,9365,0.2744885397737265
50023,Washington,59534,29941,vacant housing units,4914,0.16412277479042117
50013,Grand Isle,6970,5048,vacant housing units,2146,0.4251188589540412
50015,Lamoille,24475,12969,vacant housing units,2955,0.22785102937774693
50017,Orange,28936,14845,vacant housing units,2958,0.19925900976759853
50003,Bennington,37125,20922,vacant housing units,5452,0.2605869419749546
50019,Orleans,27231,16162,vacant housing units,4842,0.2995916346986759
50007,Chittenden,156545,65722,vacant housing units,3895,0.059264781960378564
50009,Essex,6306,5019,occupied housing units owned with mortgage or loan by resident,1242,0.2474596533173939
