Year,Cnty,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Addison,Loss or None,230.0,311.0,68.0,153.0,1.0,8.0,-6908586.0,-4898.0,13631.0,828.0
2005,Addison,0.01 - 4999,1602.0,1121.0,155.0,1380.0,13.0,54.0,4281994.0,189779.0,173040.0,7349.6428
2005,Addison,5000 - 9999,1559.0,1539.0,186.0,1253.0,20.0,100.0,11529856.0,1310132.0,1268028.0,46149.073799999984
2005,Addison,10000 - 14999,1263.0,1887.0,229.0,867.0,16.0,151.0,15732694.0,3788287.0,3699950.0,126399.16920000002
2005,Addison,15000 - 19999,1288.0,2030.0,273.0,824.0,30.0,161.0,22590223.0,8096199.0,7978340.0,275993.34150000004
2005,Addison,20000 - 24999,1266.0,2096.0,290.0,753.0,37.0,186.0,28438236.0,12943837.0,12806944.0,449872.2571000001
2005,Addison,25000 - 29999,1146.0,1929.0,306.0,673.0,32.0,135.0,31453514.0,16677298.0,16514931.0,584287.9091
2005,Addison,30000 - 34999,956.0,1758.0,294.0,502.0,23.0,137.0,30999394.0,17543176.0,17350753.0,611606.5591999999
2005,Addison,35000 - 39999,914.0,1860.0,379.0,425.0,18.0,92.0,34213913.0,20074286.0,19833667.0,703622.7822000001
2005,Addison,40000 - 44999,749.0,1655.0,385.0,282.0,14.0,68.0,31800762.0,19132507.0,18947353.0,687478.9203999997
2005,Addison,45000 - 49999,715.0,1700.0,415.0,222.0,12.0,66.0,33938503.0,20914976.61,20622069.61,779367.8112000001
2005,Addison,50000 - 59999,1161.0,3011.0,846.0,240.0,15.0,60.0,63829811.0,40981463.0,40303542.0,1524638.5812
2005,Addison,60000 - 74999,1499.0,4059.0,1252.0,198.0,13.0,36.0,100565186.0,67883632.0,67016320.0,2542537.702
2005,Addison,75000 - 99999,1360.0,3898.0,1198.0,118.0,15.0,29.0,116992829.0,83372825.0,81648381.0,3465030.8939999994
2005,Addison,100000 - 149999,882.0,2520.0,798.0,69.0,5.0,10.0,104916477.0,78700999.0,75570986.0,3757489.2284
2005,Addison,150000 +,539.0,1495.0,473.0,51.0,1.0,14.0,179502473.0,153052963.0,132055032.0,8833139.766399998
2005,Bennington,Loss or None,252.0,369.0,81.0,150.0,10.0,11.0,-13274743.0,-800.0,1154.0,2785.0
2005,Bennington,0.01 - 4999,1902.0,1408.0,168.0,1634.0,23.0,77.0,5083626.0,228242.0,224566.0,9302.3772
2005,Bennington,5000 - 9999,1778.0,1958.0,203.0,1374.0,16.0,185.0,13134278.0,1182480.0,1155190.0,39863.3727
2005,Bennington,10000 - 14999,1528.0,2435.0,300.0,978.0,22.0,228.0,19070205.0,4085482.0,4008101.0,133012.6812
2005,Bennington,15000 - 19999,1549.0,2498.0,378.0,908.0,28.0,235.0,27094707.0,8825474.0,8673852.0,281814.2406
2005,Bennington,20000 - 24999,1351.0,2299.0,346.0,745.0,31.0,229.0,30289136.0,13130131.0,13091999.0,427180.5067
2005,Bennington,25000 - 29999,1127.0,1995.0,317.0,616.0,27.0,167.0,30978189.0,15899182.0,15809363.0,511808.5028
2005,Bennington,30000 - 34999,971.0,1812.0,336.0,483.0,21.0,131.0,31416235.0,17361565.0,17313339.0,561796.3099000002
2005,Bennington,35000 - 39999,849.0,1664.0,355.0,380.0,19.0,95.0,31854711.0,18826712.0,18602809.0,594925.5419000002
2005,Bennington,40000 - 44999,720.0,1572.0,385.0,258.0,12.0,65.0,30531718.0,18440393.0,18239641.0,598087.8093000001
2005,Bennington,45000 - 49999,673.0,1512.0,388.0,210.0,14.0,61.0,31991149.0,19826332.0,19530841.0,675037.2864
2005,Bennington,50000 - 59999,1045.0,2540.0,729.0,234.0,17.0,65.0,57322745.0,37179810.0,36769496.0,1223713.0886
2005,Bennington,60000 - 74999,1317.0,3455.0,1066.0,192.0,12.0,47.0,88450192.0,59808638.0,58740951.0,1940694.6916
2005,Bennington,75000 - 99999,1216.0,3294.0,1040.0,135.0,9.0,32.0,104405783.0,74714792.0,73076357.0,2676526.324
2005,Bennington,100000 - 149999,806.0,2178.0,686.0,87.0,8.0,25.0,95828341.0,70658072.0,68090619.0,3000320.1153999995
2005,Bennington,150000 +,783.0,2027.0,632.0,118.0,8.0,25.0,329390097.0,269193019.0,229927037.0,14398726.2951
2005,Caledonia,Loss or None,212.0,297.0,69.0,126.0,6.0,11.0,-4319169.0,2147.0,6535.0,1006.0
2005,Caledonia,0.01 - 4999,1505.0,1271.0,151.0,1267.0,9.0,78.0,3917751.0,120111.0,123753.0,4934.0
2005,Caledonia,5000 - 9999,1539.0,1715.0,211.0,1166.0,11.0,151.0,11380601.0,1008226.0,1016983.0,36320.003400000016
2005,Caledonia,10000 - 14999,1305.0,2101.0,256.0,845.0,13.0,191.0,16367541.01,3663089.0,3583340.0,122622.485
2005,Caledonia,15000 - 19999,1303.0,2293.0,336.0,730.0,18.0,219.0,22719773.0,7156853.0,7057703.0,244404.67420000004
2005,Caledonia,20000 - 24999,1142.0,2131.0,349.0,572.0,25.0,196.0,25713561.0,10626034.0,10469075.0,361360.8460999999
2005,Caledonia,25000 - 29999,1055.0,1960.0,343.0,544.0,18.0,150.0,28937232.15,14614099.0,14452090.0,505295.7514
2005,Caledonia,30000 - 34999,925.0,1908.0,382.0,413.0,20.0,110.0,29980532.0,16225304.0,16124192.0,562937.2947
2005,Caledonia,35000 - 39999,758.0,1673.0,406.0,263.0,15.0,74.0,28420169.0,16144995.0,16023383.0,565919.394
2005,Caledonia,40000 - 44999,626.0,1468.0,357.0,215.0,7.0,47.0,26592573.0,16117281.0,15981367.0,578777.1625
2005,Caledonia,45000 - 49999,525.0,1318.0,362.0,128.0,7.0,28.0,24949986.0,15517254.0,15368074.0,578470.2117999999
2005,Caledonia,50000 - 59999,861.0,2262.0,683.0,147.0,7.0,24.0,47226950.0,30433845.0,29978881.0,1114889.0135999995
2005,Caledonia,60000 - 74999,1033.0,2804.0,892.0,111.0,9.0,21.0,69167743.0,47847913.0,47179771.0,1769892.2669
2005,Caledonia,75000 - 99999,822.0,2273.0,746.0,62.0,3.0,11.0,70153440.0,51459168.0,50329201.0,2156349.24
2005,Caledonia,100000 - 149999,431.0,1167.0,383.0,35.0,3.0,10.0,51181305.0,39689608.0,37925455.0,1904096.5724
2005,Caledonia,150000 +,289.0,762.0,251.0,27.0,1.0,10.0,91934744.0,80465867.0,72838482.0,4892814.7414
2005,Chittenden,Loss or None,804.0,855.0,158.0,604.0,16.0,26.0,-23738698.0,9989.0,9989.0,971.0
2005,Chittenden,0.01 - 4999,6437.0,3682.0,263.0,5822.0,47.0,305.0,17107340.35,1145614.0,932279.0,33805.2232
2005,Chittenden,5000 - 9999,5944.0,5013.0,388.0,5111.0,58.0,387.0,43779202.17,6059643.18,5918691.18,211067.9535
2005,Chittenden,10000 - 14999,5083.0,6900.0,567.0,3917.0,81.0,518.0,63286625.0,17799627.0,17441521.0,600583.0696999999
2005,Chittenden,15000 - 19999,5057.0,7153.0,722.0,3720.0,73.0,542.0,88580296.0,35428708.0,34924786.0,1202600.7319999991
