Year,Cnty,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Addison,17129.0,32869.0,7547.0,8010.0,265.0,1307.0,803877279.0,544657461.61,515802967.61,24395791.638500005
2005,Bennington,17867.0,33016.0,7410.0,8502.0,277.0,1678.0,913566369.0,629359524.0,583255315.0,27075594.14340001
2005,Caledonia,14331.0,27403.0,6177.0,6651.0,172.0,1331.0,544324732.16,351091794.0,338458285.0,15400089.6574
2005,Chittenden,73709.0,133883.0,28726.0,38630.0,958.0,5395.0,4291340849.520001,3067087099.46,2913739347.46,150971202.79809996
2005,Essex,2759.0,5383.0,1282.0,1183.0,41.0,253.0,83028596.0,47661434.0,46794233.0,1775967.0703000003
2005,Franklin,21991.0,44083.0,9830.0,9701.0,323.0,2137.0,955567766.0,630397451.0,610034634.0,27983446.36190003
2005,Grand Isle,3674.0,6960.0,1730.0,1603.0,62.0,279.0,197885974.0,136217317.0,131087886.0,6429903.844699997
2005,Lamoille,11918.0,22055.0,4848.0,5831.0,172.0,1067.0,635206604.66,443115741.65,413666642.65,22238713.94180001
2005,Orange,14128.0,26901.0,6259.0,6424.0,217.0,1228.0,593653243.0,392495398.72,376978009.72,16957955.436199993
2005,Orleans,12720.0,24416.0,5652.0,5772.0,179.0,1117.0,444531667.0,277295505.0,267954992.0,11976479.449899996
2005,Rutland,30880.0,56409.0,12712.0,15224.0,401.0,2543.0,1333573973.27,897485796.03,861187872.03,40318705.6853
2005,Washington,29117.0,53548.0,11922.0,14117.0,449.0,2629.0,1374615949.81,948758276.76,911282197.76,43718668.01970006
2005,Windham,21842.0,39672.0,8581.0,10936.0,381.0,1944.0,962742116.56,650788148.74,613975811.74,27979872.06730001
2005,Windsor,28921.0,52955.0,12238.0,13910.0,493.0,2280.0,1482620848.17,1031538668.64,958715603.64,45989100.52550003
2005,Suppressed,202.0,377.0,100.0,83.0,6.0,13.0,9749950.0,8257543.0,7550802.0,305503.0408999999
2006,Addison,17392.0,33119.0,7599.0,8189.0,265.0,1339.0,867339759.01,595260776.0,556001559.0,27312062.95649999
2006,Bennington,17988.0,33087.0,7415.0,8628.0,289.0,1656.0,981336469.03,678526461.6099999,628030658.61,29300062.04300001
2006,Caledonia,14350.0,27443.0,6225.0,6575.0,162.0,1388.0,575265517.0,372681125.0,358785076.0,16420822.677600002
2006,Chittenden,74928.0,134863.0,28724.0,39650.0,978.0,5576.0,4812312306.14,3499145066.630001,3266417743.630001,180043218.7744995
2006,Essex,2817.0,5445.0,1306.0,1208.0,47.0,256.0,94145370.0,56357949.0,54324860.0,2109090.7272
2006,Franklin,22177.0,44312.0,9929.0,9729.0,318.0,2201.0,973373991.0,635713477.01,620626088.01,28046182.744199976
2006,Grand Isle,3679.0,6906.0,1722.0,1645.0,53.0,259.0,203348945.0,139168130.0,132815955.0,6594615.0364
2006,Lamoille,12111.0,22216.0,4845.0,6001.0,186.0,1079.0,687270520.0,479300194.0,448681169.0,24247081.26680001
2006,Orange,14296.0,26870.0,6263.0,6550.0,268.0,1215.0,639826720.01,425650302.0,407483040.0,18213403.1259
2006,Orleans,12795.0,24412.0,5596.0,5843.0,184.0,1172.0,456056022.36,281210001.01,272202288.01,11930976.2746
2006,Rutland,31073.0,56474.0,12704.0,15379.0,410.0,2580.0,1380574234.33,922052488.01,891245459.01,41505793.66079999
2006,Washington,29452.0,53847.0,11879.0,14399.0,450.0,2724.0,1444805257.69,993988912.27,959015139.27,46283209.39109998
2006,Windham,22011.0,39746.0,8596.0,11033.0,424.0,1958.0,1007580386.78,682991714.27,640765248.27,29310738.75570001
2006,Windsor,29218.0,53213.0,12178.0,14153.0,515.0,2372.0,1571199735.8200002,1096930063.31,1022152329.31,49178398.27229999
2006,Suppressed,184.0,362.0,98.0,72.0,5.0,9.0,5986787.0,6128731.0,5696139.0,284503.1365
