Year,County,Cnt_Return,Cnt_Exempt,Cnt_MarJnt,Cnt_Single,Cnt_MarSep,Cnt_HdHous,Cnt_OthCrd,Cnt_Wthhld,Cnt_Estmt,Cnt_Adjstd,Cnt_NoTax,Cnt_EIC,Dol_AGI,Dol_FedTI,Dol_VTI,Dol_AdjVTx,Dol_OthCrd,Dol_NetVTax,Dol_EIC,Dol_AdjAGI
2005,Addison,17129,32869,7547,8010,265,1307,516,14040,2200,499,3412,1965,803877279,544657461.6,515802967.6,25344173.78,948382.1409,24395791.64,998874,21665.80644
2005,Bennington,17867,33016,7410,8502,277,1678,2190,13358,2558,583,4693,2352,913566369,629359524,583255315,31688973.42,4613379.279,27075594.14,1304515,21653.16862
2005,Caledonia,14331,27403,6177,6651,172,1331,284,11585,1407,460,3618,2392,544324732.2,351091794,338458285,15976922.25,576832.5957,15400089.66,1308420,18248.33621
2005,Chittenden,73709,133883,28726,38630,958,5395,2153,64485,8689,2696,12335,6057,4291340850,3067087099,2913739347,158458273,7487070.194,150971202.8,2864964,26210.73936
2005,Essex,2759,5383,1282,1183,41,253,35,2126,250,124,734,475,83028596,47661434,46794233,1793135.318,17168.2476,1775967.07,275919,15586.15085
2005,Franklin,21991,44083,9830,9701,323,2137,417,19107,1511,618,4509,3032,955567766,630397451,610034634,28618864.13,635417.7722,27983446.36,1685305,20023.29556
2005,Grand Isle,3674,6960,1730,1603,62,279,210,3060,444,111,750,430,197885974,136217317,131087886,6826887.218,396983.3728,6429903.845,214774,23859.84741
2005,Lamoille,11918,22055,4848,5831,172,1067,339,9825,1458,402,2521,1624,635206604.7,443115741.7,413666642.7,23487861.49,1249147.543,22238713.94,786350,21546.43494
2005,Orange,14128,26901,6259,6424,217,1228,283,11441,1639,485,2971,1801,593653243,392495398.7,376978009.7,17454834.33,496878.8979,16957955.44,924131,20573.57552
2005,Orleans,12720,24416,5652,5772,179,1117,237,10117,1134,399,3467,2232,444531667,277295505,267954992,12316612.38,340132.933,11976479.45,1222541,17069.98149
2005,Rutland,30880,56409,12712,15224,401,2543,1318,25678,3318,990,6989,3927,1333573973,897485796,861187872,42555958.9,2237253.216,40318705.69,1987026,21082.29648
2005,Washington,29117,53548,11922,14117,449,2629,731,24510,3378,794,5533,3191,1374615950,948758276.8,911282197.8,45183855.9,1465187.876,43718668.02,1555907,22990.63427
2005,Windham,21842,39672,8581,10936,381,1944,1541,16993,2894,903,5031,2937,962742116.6,650788148.7,613975811.7,30698779.99,2718907.923,27979872.07,1469627,21189.85979
2005,Windsor,28921,52955,12238,13910,493,2280,974,22730,4245,1220,6219,3149,1482620848,1031538669,958715603.6,49335627.22,3346526.692,45989100.53,1571407,22998.71083
2005,Suppressed,202,377,100,83,6,13,39,107,32,12,94,21,9749950,8257543,7550802,366690.8853,61187.8444,305503.0409,3909,22634.44297
2006,Addison,17392,33119,7599,8189,265,1339,572,14264,2259,482,3534,2040,867339759,595260776,556001559,28029597.67,717534.714,27312062.96,1026973,22734.92551
2006,Bennington,17988,33087,7415,8628,289,1656,2180,13492,2600,598,4485,2420,981336469,678526461.6,628030658.6,34827397.14,5527335.098,29300062.04,1345012,22809.24804
2006,Caledonia,14350,27443,6225,6575,162,1388,295,11661,1474,416,3548,2438,575265517,372681125,358785076,17043616.97,622794.2962,16420822.68,1353907,19129.15742
2006,Chittenden,74928,134863,28724,39650,978,5576,2378,65390,8971,2720,12405,6341,4812312306,3499145067,3266417744,185906811.4,5863592.656,180043218.8,3034456.8,27415.7248
2006,Essex,2817,5445,1306,1208,47,256,37,2175,243,123,758,478,94145370,56357949,54324860,2195117.727,86027,2109090.727,281559,16977.79908
2006,Franklin,22177,44312,9929,9729,318,2201,404,19274,1570,604,4622,3129,973373991,635713477,620626088,28641832.1,595649.3568,28046182.74,1701075,20696.33273
2006,Grand Isle,3679,6906,1722,1645,53,259,205,3048,473,109,715,425,203348945,139168130,132815955,6937321.963,342706.9262,6594615.036,210257,25059.29554
2006,Lamoille,12111,22216,4845,6001,186,1079,374,10019,1520,380,2582,1668,687270520,479300194,448681169,25840335.69,1593254.426,24247081.27,829865,22330.08147
2006,Orange,14296,26870,6263,6550,268,1215,307,11621,1654,410,3000,1800,639826720,425650302,407483040,18618470.24,405067.1099,18213403.13,950225,21721.09367
2006,Orleans,12795,24412,5596,5843,184,1172,247,10228,1122,367,3535,2363,456056022.4,281210001,272202288,12234481.9,303505.6242,11930976.27,1296483,17725.01972
2006,Rutland,31073,56474,12704,15379,410,2580,1339,25788,3292,986,6842,3956,1380574234,922052488,891245459,43530653.79,2024860.127,41505793.66,2061472,22026.0699
2006,Washington,29452,53847,11879,14399,450,2724,785,24831,3465,843,5611,3401,1444805258,993988912.3,959015139.3,47869907.59,1586698.201,46283209.39,1642349,23873.30204
2006,Windham,22011,39746,8596,11033,424,1958,1593,17041,2992,838,5075,2972,1007580387,682991714.3,640765248.3,32210283.94,2899545.185,29310738.76,1538694,22140.16504
